,product_id,hs_product_code,hs_product_name_short_en,level,parent_id
254,790,1518,"Animal or vegetable fats and oils, processed",4digit,114.0
255,791,1519,Stearic acid,4digit,114.0
256,792,1520,Glycerol,4digit,114.0
257,793,1521,Vegetable waxes and beeswax,4digit,114.0
258,794,1522,Degras and wax residues,4digit,114.0
259,795,1601,Sausages,4digit,115.0
260,796,1602,Other prepared or preserved meat,4digit,115.0
261,797,1603,Extracts and juices of meat or fish,4digit,115.0
262,798,1604,Prepared or preserved fish,4digit,115.0
263,799,1605,Prepared aquatic invertibrates,4digit,115.0
264,800,1701,Sugarcane & sucrose,4digit,116.0
265,801,1702,Other sugars,4digit,116.0
266,802,1703,Molasses,4digit,116.0
267,803,1704,Confectionery sugar,4digit,116.0
268,804,1801,Cocoa beans,4digit,117.0
269,805,1802,Cocoa residues,4digit,117.0
270,806,1803,Cocoa paste,4digit,117.0
271,807,1804,Cocoa butter,4digit,117.0
272,808,1805,Cocoa powder,4digit,117.0
273,809,1806,Chocolates,4digit,117.0
274,810,1901,Malt extract,4digit,118.0
275,811,1902,Pasta,4digit,118.0
276,812,1903,Tapioca,4digit,118.0
277,813,1904,Cereal foods,4digit,118.0
278,814,1905,Bakery products,4digit,118.0
279,815,2001,Pickled fruits and vegetables,4digit,119.0
280,816,2002,"Tomatoes, prepared or preserved",4digit,119.0
281,817,2003,"Mushrooms, prepared or preserved",4digit,119.0
282,818,2004,"Other vegetables, frozen",4digit,119.0
283,819,2005,"Other vegetables, prepared or preserved",4digit,119.0
284,820,2006,"Vegetables, fruits and nuts, preserved by sugar",4digit,119.0
285,821,2007,"Jams, jellies and marmalades",4digit,119.0
286,822,2008,"Fruits and nuts, otherwise prepared",4digit,119.0
287,823,2009,Fruit juices,4digit,119.0
288,824,2101,Coffee extracts,4digit,120.0
289,825,2102,Yeasts,4digit,120.0
290,826,2103,Sauces and seasonings,4digit,120.0
291,827,2104,Soups and broths,4digit,120.0
292,828,2105,Ice cream,4digit,120.0
293,829,2106,Food preparations n.e.c.,4digit,120.0
294,830,2201,Waters,4digit,121.0
295,831,2202,"Waters, flavored or sweetened",4digit,121.0
296,832,2203,Beer,4digit,121.0
297,833,2204,Wine,4digit,121.0
298,834,2205,"Wine, flavored",4digit,121.0
299,835,2206,Other fermented beverages,4digit,121.0
300,836,2207,Ethyl alcohol > 80%,4digit,121.0
301,837,2208,Spirits < 80% alcohol,4digit,121.0
302,838,2209,Vinegars,4digit,121.0
303,839,2301,"Flours of fish, for animal feed",4digit,122.0
304,840,2302,Cereal residues,4digit,122.0
305,841,2303,Starch residues,4digit,122.0
306,842,2304,Solid soybean residues,4digit,122.0
307,843,2305,Solid peanut residues,4digit,122.0
308,844,2306,Solid vegetable oil and fat residues,4digit,122.0
309,845,2307,Wine lees,4digit,122.0
310,846,2308,Vegetable materials for animal feeding,4digit,122.0
311,847,2309,Animal feed,4digit,122.0
312,848,2401,Unmanufactured tobacco,4digit,123.0
313,849,2402,Cigars and cigarettes,4digit,123.0
314,850,2403,Other manufactured tobacco,4digit,123.0
315,851,2501,Salt,4digit,3.0
316,852,2502,Unroasted iron pyrites,4digit,3.0
317,853,2503,"Sulphur, crude",4digit,3.0
318,854,2504,Natural graphite,4digit,3.0
319,855,2505,Natural sands,4digit,3.0
320,856,2506,Quartz,4digit,3.0
321,857,2507,Kaolin,4digit,3.0
322,858,2508,Clays,4digit,3.0
323,859,2509,Chalk,4digit,3.0
324,860,2510,Natural calcium phosphates,4digit,3.0
325,861,2511,Natural barium sulfate,4digit,3.0
